gene_name,gene_type
NKX6-3,transcription_factor
NKX3-1,transcription_factor
HOXD4,transcription_factor
IRX1,transcription_factor
SIX2,transcription_factor
HOXB9,transcription_factor
TGIF2LY,transcription_factor
IRX3,transcription_factor
HOXC9,transcription_factor
HOXB4,transcription_factor
ARGFX,transcription_factor
HOXA4,transcription_factor
HOXA10,transcription_factor
LHX1,transcription_factor
POU5F1,transcription_factor
HSFY1,transcription_factor
HSF5,transcription_factor
IRF6,transcription_factor
PPARD,transcription_factor
NR5A2,transcription_factor
NR2C1,transcription_factor
NR4A1,transcription_factor
NR1D1,transcription_factor
NR5A1,transcription_factor
RORC,transcription_factor
NR6A1,transcription_factor
NR1D2,transcription_factor
RORB,transcription_factor
PAX8,transcription_factor
RFX1,transcription_factor
RFX7,transcription_factor
SKOR2,transcription_factor
SMAD5,transcription_factor
NFIC,transcription_factor
SOX30,transcription_factor
TCF7,transcription_factor
BBX,transcription_factor
SOX3,transcription_factor
SOX12,transcription_factor
TBX18,transcription_factor
TBX3,transcription_factor
TBX6,transcription_factor
TBXT,transcription_factor
TEAD2,transcription_factor
XPA,transcription_factor
SKOR1,transcription_factor
FOSL2,transcription_factor
ZKSCAN1,transcription_factor
ZFP14,transcription_factor
ZNF415,transcription_factor
ZNF135,transcription_factor
ZFP82,transcription_factor
ZKSCAN7,transcription_factor
ZNF777,transcription_factor
ZNF682,transcription_factor
FOXP2,transcription_factor
SOX6,transcription_factor
SOX5,transcription_factor
SOX17,transcription_factor
PLAG1,transcription_factor
ZKSCAN2,transcription_factor
ZNF582,transcription_factor
ZNF506,transcription_factor
ZNF324,transcription_factor
ZNF671,transcription_factor
ZNF264,transcription_factor
ZNF302,transcription_factor
ZNF184,transcription_factor
ZNF419,transcription_factor
ZNF85,transcription_factor
ZNF430,transcription_factor
ZNF549,transcription_factor
ZNF211,transcription_factor
ZNF205,transcription_factor
ZNF45,transcription_factor
ZNF133,transcription_factor
ZNF484,transcription_factor
ZNF557,transcription_factor
ZNF337,transcription_factor
ZNF317,transcription_factor
ZNF331,transcription_factor
ZNF141,transcription_factor
ZNF304,transcription_factor
ZNF132,transcription_factor
ZNF189,transcription_factor
ZNF287,transcription_factor
ZIM3,transcription_factor
ZNF614,transcription_factor
ZNF300,transcription_factor
RBAK,transcription_factor
ZNF157,transcription_factor
ZNF182,transcription_factor
ZNF7,transcription_factor
ZNF214,transcription_factor
ZNF547,transcription_factor
ZNF776,transcription_factor
ZNF18,transcription_factor
ZNF19,transcription_factor
ZNF222,transcription_factor
ZNF235,transcription_factor
ZNF714,transcription_factor
ZNF333,transcription_factor
ZNF382,transcription_factor
ZNF496,transcription_factor
PRDM9,transcription_factor
ZNF202,transcription_factor
ZNF3,transcription_factor
ZNF180,transcription_factor
ZNF641,transcription_factor
ZNF610,transcription_factor
ZNF528,transcription_factor
ZNF701,transcription_factor
ZNF283,transcription_factor
ZNF558,transcription_factor
ZNF30,transcription_factor
ZNF354A,transcription_factor
ZNF764,transcription_factor
ZNF778,transcription_factor
ZNF212,transcription_factor
ZNF439,transcription_factor
ZNF440,transcription_factor
ZNF562,transcription_factor
ZNF561,transcription_factor
ZNF584,transcription_factor
ZIK1,transcription_factor
ZNF540,transcription_factor
ZNF570,transcription_factor
ZNF621,transcription_factor
ZNF680,transcription_factor
ZNF483,transcription_factor
ZNF417,transcription_factor
ZNF791,transcription_factor
ZNF266,transcription_factor
ZNF519,transcription_factor
ZNF25,transcription_factor
ZNF77,transcription_factor
ZNF169,transcription_factor
ZNF613,transcription_factor
ZNF620,transcription_factor
ZNF619,transcription_factor
ZNF114,transcription_factor
ZNF543,transcription_factor
ZNF354B,transcription_factor
ZNF223,transcription_factor
ZNF552,transcription_factor
ZNF154,transcription_factor
ZNF816,transcription_factor
ZNF571,transcription_factor
ZNF443,transcription_factor
ZNF792,transcription_factor
ZNF707,transcription_factor
ZNF875,transcription_factor
ZNF101,transcription_factor
ZNF716,transcription_factor
ZNF708,transcription_factor
ZNF662,transcription_factor
ZNF320,transcription_factor
ZNF530,transcription_factor
ZNF730,transcription_factor
ZNF93,transcription_factor
ZFP90,transcription_factor
ZNF479,transcription_factor
ZNF445,transcription_factor
ZNF74,transcription_factor
ZNF267,transcription_factor
ZNF566,transcription_factor
ZNF529,transcription_factor
ZNF284,transcription_factor
ZNF749,transcription_factor
ZNF17,transcription_factor
ZNF555,transcription_factor
ZNF75D,transcription_factor
ZNF197,transcription_factor
ZFP69B,transcription_factor
ZFP69,transcription_factor
ZNF626,transcription_factor
ZNF793,transcription_factor
ZNF383,transcription_factor
ZNF669,transcription_factor
ZNF548,transcription_factor
ZNF567,transcription_factor
ZNF573,transcription_factor
ZNF527,transcription_factor
ZNF33A,transcription_factor
ZNF79,transcription_factor
ZNF681,transcription_factor
ZNF766,transcription_factor
ZNF565,transcription_factor
ZNF765,transcription_factor
ZNF124,transcription_factor
ZNF605,transcription_factor
ZNF799,transcription_factor
ZNF782,transcription_factor
ZNF846,transcription_factor
ZNF136,transcription_factor
ZKSCAN5,transcription_factor
ZNF33B,transcription_factor
ZNF431,transcription_factor
ZNF418,transcription_factor
