cell_type,gene_name,logfoldchanges,pvals_adj,pct_nz_group
fibroblast,CAST,-21.458187,1.7350324473984255e-98,0.8721131422553223
fibroblast,EMILIN1,2.9086094,3.015862318646839e-97,0.5289626119010006
fibroblast,FSTL3,5.500872,4.533959951863793e-96,0.5098171970209885
fibroblast,FKBP9,4.139129,8.451451872659808e-96,0.5218159933799744
fibroblast,CLIC4,-7.792533,3.8771670363946764e-95,0.6179568193786203
fibroblast,FOSB,-35.877335,1.3225528341274445e-93,0.8850898969382381
fibroblast,TNS1,2.918137,5.517886330625162e-93,0.5341156999924772
fibroblast,RBMS1,-10.694153,1.0244215679885265e-92,0.7704807041299933
fibroblast,DNAJB1,40.44504,7.92581792581788e-92,0.764123975024449
fibroblast,FNDC3B,-17.96359,1.3346475105317193e-91,0.6756563604904837
fibroblast,DST,-9.620548,4.1765262908959693e-91,0.7422703678627849
fibroblast,OPTN,-7.443443,1.377200185953363e-90,0.6195742119912736
fibroblast,SBDS,-22.11267,3.671054336219719e-90,0.7789814187918453
fibroblast,PGRMC1,-16.54412,5.306960881339549e-90,0.7372677348980666
fibroblast,SKIL,2.441042,9.112512604265679e-90,0.5563454449710374
fibroblast,DHRS3,-17.652384,5.952063178482347e-89,0.5681561724215752
fibroblast,CPQ,-6.2446694,3.0763872150669515e-88,0.6287143609418491
fibroblast,ARHGAP21,-4.7295504,7.10113317494991e-88,0.5960655984352666
fibroblast,GINM1,-9.295764,9.315293841484182e-87,0.7402016098698563
fibroblast,PALM,2.426655,1.3714928946159635e-86,0.5112841345068834
fibroblast,PSAP,-105.79974,3.827088063357303e-86,0.9615587151132174
