cell_type,gene_name,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Fibroblast,GPX4,27.503067,0.13715109,1.613472194801254e-166,1.9132261702263193e-166,0.953095614233055,0.9907394215700243
Fibroblast,LDHA,27.233994,0.11307235,2.5716425343879987e-163,3.043402896925046e-163,0.9367712329797638,0.9924490668186351
Fibroblast,COL1A2,27.215136,0.2163138,4.3002710194684105e-163,5.088809263768124e-163,0.9368088467614534,0.9639074891959918
Fibroblast,FBLN1,27.044226,0.22952552,4.4659206859083994e-161,5.277906265164472e-161,0.9481305950500263,0.9639074891959918
Fibroblast,NUPR1,26.60552,0.18984157,5.859792496628238e-156,6.900784958964389e-156,0.9457233130218913,0.9639549793417865
Fibroblast,COL6A3,26.353666,0.2140528,4.6590141387572716e-153,5.479888058443076e-153,0.9151056947265478,0.9658070950277817
Fibroblast,MYL12B,24.70143,0.09204041,1.0323440489204434e-134,1.203166928193686e-134,0.9308282554728052,0.9952034952747305
Fibroblast,AHNAK,24.439785,0.175911,6.462592469483542e-132,7.520782549196964e-132,0.9022793951703905,0.9808139810989219
Fibroblast,TMBIM6,24.0489,0.108519964,8.571626661189923e-128,9.950746866335018e-128,0.9288347250432558,0.9929714584223773
Fibroblast,GLUL,24.001045,0.10685615,2.7117644949715674e-127,3.1470570643516984e-127,0.9144286466561348,0.9934938500261196
Fibroblast,DYNLL1,22.961664,0.12655587,1.1267647451302596e-116,1.2993537426096004e-116,0.911795681937862,0.9905019708410505
Fibroblast,CALM1,22.247467,0.11663298,1.193433332692783e-109,1.3689672639343197e-109,0.9240201609869856,0.9910243624447928
Fibroblast,SOD1,21.585096,0.112776026,2.4797254684559805e-103,2.8341740569047784e-103,0.9008124576844956,0.9924965569644298
Fibroblast,OST4,21.497158,0.08938504,1.6552026647407596e-102,1.8911956940587186e-102,0.9043857669450086,0.99529847556632
Fibroblast,ELOB,21.446592,0.11034809,4.913636086525108e-102,5.6106498813333045e-102,0.9046866771985256,0.994538633233604
Fibroblast,UBC,21.376127,0.14025202,2.2287776710759976e-101,2.544452968669831e-101,0.9867223350635673,0.9921641259438666
Fibroblast,ANXA1,21.131187,0.14324358,4.110819395741998e-99,4.6892000078841e-99,0.9509892424584367,0.9860853872821389
Fibroblast,PRDX6,20.970654,0.12208166,1.2158372462249585e-97,1.3853245741979289e-97,0.9231550440081245,0.9925915372560193
Fibroblast,EDF1,20.447044,0.11811284,6.382659764634441e-93,7.251779345691469e-93,0.9043481531633191,0.9930664387139668
Fibroblast,TMA7,20.126038,0.059261035,4.365442625443083e-90,4.953325528875731e-90,0.9280448356277741,0.9972455715439046
Fibroblast,SSR4,19.674665,0.10786859,3.555167110818114e-86,4.02481435142597e-86,0.9023922365154593,0.9938262810466828
Fibroblast,PSMA7,19.653032,0.10931587,5.4460265413551395e-86,6.16507437011392e-86,0.9059279319942827,0.9928289879849931
Fibroblast,COX6C,18.718233,0.08856955,3.516253643728757e-78,3.9593810934911145e-78,0.9044609945083879,0.9957733770242675
Fibroblast,OAZ1,17.483536,0.038434345,1.912615996976739e-68,2.1378946774215845e-68,0.9632137215075603,0.9985278054803628
Fibroblast,C12orf57,17.226929,0.13488966,1.6677364204388367e-66,1.8618633766907724e-66,0.9180771834800271,0.9894096974877713
Fibroblast,S100A4,16.83943,0.12711027,1.2543805088755567e-63,1.3968462793685254e-63,0.936846460543143,0.9928764781307878
Fibroblast,RAC1,16.70397,0.12721425,1.226276646385366e-62,1.3643708633206548e-62,0.91296170917024,0.9919741653606876
Fibroblast,RTN4,16.629469,0.16608013,4.263603674621093e-62,4.741398659004127e-62,0.9504250357330926,0.9872251507812129
Fibroblast,MYL6,16.339691,0.076308414,5.151337431661971e-60,5.719443671816317e-60,0.9709621605356202,0.9969606306691362
Fibroblast,EID1,15.781095,0.09978048,4.198411777584002e-56,4.644552595963994e-56,0.9488828706838186,0.9947760839625778
Fibroblast,JUN,14.975479,0.1702195,1.0620003071481973e-50,1.1691859529972613e-50,0.9477544572331302,0.9836158997008121
Fibroblast,ITM2B,14.416947,0.1470258,4.04854858157991e-47,4.444677269512139e-47,0.9831866395847438,0.9908818920074085
Fibroblast,HSPB1,13.872798,0.13779333,9.259311129959972e-44,1.0123985142460024e-43,0.921763334085609,0.9749252030203732
Fibroblast,SLC25A3,12.918936,0.05912062,3.5197567884931075e-38,3.822025573822296e-38,0.916535018430753,0.99529847556632
Fibroblast,NFKBIA,12.804693,0.08631687,1.5433413432608573e-37,1.6743674946050854e-37,0.9043857669450086,0.9929239682765826
Fibroblast,PEBP1,12.265018,0.08734803,1.395800690496734e-34,1.5105745303611193e-34,0.9219890167757466,0.9936363204635038
Fibroblast,DUSP1,11.904268,0.1256898,1.1244524681751577e-32,1.2143628685712905e-32,0.9543368690288122,0.985515505532602
Fibroblast,CHCHD2,11.831568,0.055806175,2.680868189828845e-32,2.8938418540950613e-32,0.9379372602121417,0.9967231799401625
Fibroblast,TXNIP,10.444414,0.10703936,1.5541189836465588e-25,1.6603851036399303e-25,0.9234559542616415,0.99529847556632
Fibroblast,HSP90B1,10.07582,0.09612433,7.066855446946982e-24,7.529098946106182e-24,0.9011885955013917,0.9925440471102246
Fibroblast,VIM,9.097983,0.19492182,9.20247586465986e-20,9.719414381190366e-20,0.996802828556383,0.9914042836111507
Fibroblast,JUND,8.927399,0.118770644,4.36144914062593e-19,4.600520033615663e-19,0.962386218310389,0.9891247566130028
Fibroblast,TFPI,8.900812,0.1479322,5.543975091587617e-19,5.845813735462943e-19,0.9056270217407658,0.9820962150353801
Fibroblast,REV3L,8.760775,0.009546355,1.9391338073933757e-18,2.043633273780464e-18,1.0,0.7505817542859856
Fibroblast,RHOA,8.608706,0.056267615,7.388964168129951e-18,7.780332452438165e-18,0.9046866771985256,0.9956309065868832
Fibroblast,SRP14,8.568408,0.04135986,1.0492551624919511e-17,1.1043791859723525e-17,0.9624614458737681,0.9974355321270836
Fibroblast,SKP1,8.420415,0.06964523,3.751520275586199e-17,3.944466854574305e-17,0.9206349206349206,0.996248278482215
Fibroblast,FTH1,8.308004,0.13857731,9.732466824647556e-17,1.0224675716088102e-16,0.9984202211690363,0.9974830222728783
Fibroblast,CIRBP,8.177006,0.040586196,2.9098457988303906e-16,3.053449898080124e-16,0.9178515007898894,0.9837583701381963
Fibroblast,NUCKS1,8.093726,0.08866808,5.786659897113697e-16,6.070118366679683e-16,0.903182125930941,0.9942062022130408
Fibroblast,FOS,7.077323,0.11510898,1.469657737944757e-12,1.5323771857330663e-12,0.9647558865568344,0.9542194994538633
Fibroblast,SUMO2,6.8078103,0.045005925,9.909545785171575e-12,1.0310387769903559e-11,0.9198450312194388,0.996628199648573
Fibroblast,YBX3,6.3465185,0.12235457,2.2024201635835416e-10,2.285573408320854e-10,0.9616715564582863,0.990027069383103
Fibroblast,ATP5F1E,5.510078,0.042996738,3.5867516121181005e-08,3.7021419839774155e-08,0.94583615436696,0.9969131405233415
Fibroblast,PBX1,5.334265,0.02210614,9.593231035338175e-08,9.891665168306892e-08,1.0,0.8105143182789571
Fibroblast,TMSB4X,5.3179502,0.07275379,1.0494268966712823e-07,1.082011457792766e-07,0.9922515609719401,0.9983378448971838
Fibroblast,UBA52,5.158926,0.02550286,2.4837017542887845e-07,2.559503133770422e-07,0.9877002933874972,0.9973880419812888
Fibroblast,ZEB1,4.8671007,0.0056548845,1.132473930613938e-06,1.165238384096092e-06,1.0,0.7886688512133733
Fibroblast,EEF1D,4.6778545,0.06805825,2.898922880927703e-06,2.9776961641795265e-06,0.9628751974723538,0.9948235741083725
Fibroblast,HLA-A,4.62008,0.04897093,3.835923729319289e-06,3.938587823208024e-06,0.9064169111562477,0.9952034952747305
Fibroblast,SRRM2,4.5870695,0.079081245,4.495111077552525e-06,4.6141038278122275e-06,0.9028812156774242,0.9916892244859191
Fibroblast,TOMM7,4.261869,0.08326916,2.0272432062809472e-05,2.0762977706590038e-05,0.9479049123598887,0.9946811036709883
Fibroblast,FTL,3.8226833,0.11638629,0.0001320073224381723,0.000134910391139981,0.9980064695704506,0.9997150591252315
Fibroblast,TPT1,3.7317762,0.013319159,0.0001901343514610042,0.00019422766365607426,1.0,0.9981953744597996
Fibroblast,CALM2,3.418721,0.018936913,0.0006291619900502786,0.0006414350244598311,0.9244715263672609,0.9971031011065205
Fibroblast,PRDX1,3.1514773,0.07087704,0.0016244670711609854,0.0016535376402903763,0.9264274430151207,0.9938262810466828
Fibroblast,GNAS,3.1208217,0.07842632,0.0018034716337754927,0.0018351239858129746,0.9646806589934552,0.9933513795887353
Fibroblast,COX7C,-2.0250707,0.019769298,0.042860100533800245,0.04336272431404737,0.9474535469796134,0.9980529040224153
Fibroblast,TMSB10,-2.308743,0.024076996,0.020957845025151987,0.02123221168943227,0.986082900774844,0.999050197084105
Fibroblast,DDX5,-2.924342,0.056445718,0.0034518547331655403,0.0035084776039294168,0.9757014970285113,0.9784869639549794
Fibroblast,HNRNPA2B1,-3.2112143,0.012306677,0.0013217534692378978,0.0013462428291153214,0.9543368690288122,0.9965332193569835
Fibroblast,SON,-4.538388,0.011992131,5.668588825990623e-06,5.81732072404308e-06,0.9142029639659971,0.9638125089044023
Fibroblast,HLA-E,-4.646406,0.04305863,3.377676252596319e-06,3.4684708987165683e-06,0.9389528323177613,0.9943011825046303
Fibroblast,NOP53,-4.8511457,0.008224824,1.2275029098384129e-06,1.2629446486331768e-06,0.9022793951703905,0.9963907489195992
Fibroblast,HSP90AA1,-11.61071,0.048829157,3.6358469998930447e-31,3.9190553117570235e-31,0.9811554953735049,0.9978629434392363
HSC,DEFA3,182.50403,5.589824,0.0,0.0,0.9733105380633519,0.0006394342887233882
HSC,MORC1,182.00996,6.0635085,0.0,0.0,0.9699387377119247,0.0002632964718272775
HSC,PTPRCAP,181.90318,3.7191842,0.0,0.0,0.9723132450016622,0.0017678477394117206
HSC,DEFA4,181.78856,7.796094,0.0,0.0,0.9684665431922876,0.00011284134506883322
HSC,DEFA1B,181.10793,19.774454,0.0,0.0,0.964619841382913,0.0
HSC,NAT8B,181.10101,4.0577865,0.0,0.0,0.9649522724034763,0.00018806890844805536
HSC,DEFA1,181.06334,19.173523,0.0,0.0,0.9643823906539393,0.0
HSC,SETSIP,181.0465,0.34839982,0.0,0.0,0.964809801966092,0.0002632964718272775
HSC,MSH5-SAPCD1,181.04451,2.051346,0.0,0.0,0.9650947428408605,0.0004137515985857218
HSC,ZNF670-ZNF695,181.02669,2.0208592,0.0,0.0,0.9643349005081445,7.522756337922214e-05
HSC,LGALS9B,181.01279,0.6706235,0.0,0.0,0.964999762549271,0.0004513653802753329
HSC,IFNL4,181.00887,4.853129,0.0,0.0,0.964239920216555,7.522756337922214e-05
HSC,OR14L1P,181.00887,5.3803225,0.0,0.0,0.964239920216555,7.522756337922214e-05
HSC,RNF103-CHMP3,180.99898,2.3284335,0.0,0.0,0.964999762549271,0.0004889791619649439
HSC,CCDC169-SOHLH2,180.99202,10.385818,0.0,0.0,0.9640024694875813,0.0
HSC,KRTAP20-4,180.9831,12.322798,0.0,0.0,0.9639549793417865,0.0
HSC,CENPVL1,180.9831,9.740405,0.0,0.0,0.9639549793417865,0.0
HSC,C22orf42,180.9831,10.64909,0.0,0.0,0.9639549793417865,0.0
HSC,SPATA31C2,180.9831,13.404637,0.0,0.0,0.9639549793417865,0.0
HSC,KRTAP15-1,180.9831,11.052205,0.0,0.0,0.9639549793417865,0.0
HSC,OR10P1,180.9831,9.43117,0.0,0.0,0.9639549793417865,0.0
HSC,OR4D10,180.97815,3.6517587,0.0,0.0,0.9640024694875813,3.761378168961107e-05
HSC,OR2T34,180.97815,5.446891,0.0,0.0,0.9640024694875813,3.761378168961107e-05
HSC,LINGO4,180.97815,2.682842,0.0,0.0,0.9640024694875813,3.761378168961107e-05
HSC,TUBA3E,180.97815,7.3378587,0.0,0.0,0.9640024694875813,3.761378168961107e-05
HSC,KLRC4-KLRK1,180.97815,8.46978,0.0,0.0,0.9640024694875813,3.761378168961107e-05
HSC,OR8B8,180.97815,2.4416845,0.0,0.0,0.9640024694875813,3.761378168961107e-05
HSC,PTGES3L-AARSD1,180.97716,3.0689716,0.0,0.0,0.9641449399249655,0.00011284134506883322
HSC,IFNL2,180.96922,3.1603498,0.0,0.0,0.9639549793417865,3.761378168961107e-05
HSC,VCX3A,180.96922,2.0407317,0.0,0.0,0.9639549793417865,3.761378168961107e-05
HSC,OR10J3,180.96922,7.3768086,0.0,0.0,0.9639549793417865,3.761378168961107e-05
HSC,GC,180.96922,4.4979005,0.0,0.0,0.9639549793417865,3.761378168961107e-05
HSC,OR5A2,180.96922,1.7907966,0.0,0.0,0.9639549793417865,3.761378168961107e-05
HSC,C8A,180.96922,1.5409293,0.0,0.0,0.9639549793417865,3.761378168961107e-05
HSC,OR8G2P,180.96922,0.17973186,0.0,0.0,0.9639549793417865,3.761378168961107e-05
HSC,DEFB110,180.96922,0.5531979,0.0,0.0,0.9639549793417865,3.761378168961107e-05
HSC,OR9I1,180.96922,0.27347374,0.0,0.0,0.9639549793417865,3.761378168961107e-05
HSC,LY75-CD302,180.96922,0.14664507,0.0,0.0,0.9639549793417865,3.761378168961107e-05
HSC,OR8D1,180.96428,0.16058926,0.0,0.0,0.9640024694875813,7.522756337922214e-05
HSC,FMC1-LUC7L2,180.95828,0.22982234,0.0,0.0,0.9648572921118868,0.000526592943654555
HSC,PPIAL4F,180.95734,0.14742307,0.0,0.0,0.9643349005081445,0.0002632964718272775
HSC,TRIM64B,180.95537,3.0196047,0.0,0.0,0.9639549793417865,7.522756337922214e-05
HSC,DUSP13,180.95537,1.2508235,0.0,0.0,0.9639549793417865,7.522756337922214e-05
HSC,TRIM43,180.95537,6.5944014,0.0,0.0,0.9639549793417865,7.522756337922214e-05
HSC,NMS,180.95537,3.9185095,0.0,0.0,0.9639549793417865,7.522756337922214e-05
HSC,ZNF705G,180.95537,2.8116462,0.0,0.0,0.9639549793417865,7.522756337922214e-05
HSC,OR8H2,180.95535,0.30004174,0.0,0.0,0.9639549793417865,7.522756337922214e-05
HSC,OR5M1,180.95535,0.04468918,0.0,0.0,0.9639549793417865,7.522756337922214e-05
HSC,KIR2DS4,180.95535,0.91347355,0.0,0.0,0.9639549793417865,7.522756337922214e-05
HSC,KCNU1,180.95535,0.4639881,0.0,0.0,0.9639549793417865,7.522756337922214e-05
HSC,ASCL4,180.95535,0.3676479,0.0,0.0,0.9639549793417865,7.522756337922214e-05
HSC,ARL2-SNX15,180.95438,2.4619942,0.0,0.0,0.9640974497791708,0.00015045512675844429
HSC,LY6G6F-LY6G6D,180.95436,0.65703356,0.0,0.0,0.9640974497791708,0.00015045512675844429
HSC,MROH7-TTC4,180.95041,1.2477406,0.0,0.0,0.9640024694875813,0.00011284134506883322
HSC,TGIF2-RAB5IF,180.95041,1.0268759,0.0,0.0,0.9640024694875813,0.00011284134506883322
HSC,GABRA1,180.95041,0.20459582,0.0,0.0,0.9640024694875813,0.00011284134506883322
HSC,OR5A1,180.94545,0.35330686,0.0,0.0,0.964049959633376,0.00015045512675844429
HSC,INO80B-WBP1,180.9415,2.517274,0.0,0.0,0.9639549793417865,0.00011284134506883322
HSC,PTCHD3,180.9415,0.62993395,0.0,0.0,0.9639549793417865,0.00011284134506883322
HSC,SMIM40,180.9415,1.4066148,0.0,0.0,0.9639549793417865,0.00011284134506883322
HSC,SPANXN1,180.9415,0.6026612,0.0,0.0,0.9639549793417865,0.00011284134506883322
HSC,OR10AC1,180.9415,0.5403452,0.0,0.0,0.9639549793417865,0.00011284134506883322
HSC,FEV,180.94148,0.1298169,0.0,0.0,0.9639549793417865,0.00011284134506883322
HSC,CRISP3,180.93356,1.7590735,0.0,0.0,0.964429880799734,0.0003761378168961107
HSC,POTEG,180.9296,0.88567966,0.0,0.0,0.9643349005081445,0.00033852403520649965
HSC,CNTNAP3C,180.92763,0.5043693,0.0,0.0,0.9639549793417865,0.00015045512675844429
HSC,KIR2DL1,180.92763,0.09534027,0.0,0.0,0.9639549793417865,0.00015045512675844429
HSC,PPIAL4E,180.92267,0.02085812,0.0,0.0,0.9640024694875813,0.00018806890844805536
HSC,PRR35,180.91376,0.044772808,0.0,0.0,0.9639549793417865,0.00018806890844805536
HSC,OR51D1,180.91376,0.0015455396,0.0,0.0,0.9639549793417865,0.00018806890844805536
HSC,ZNF816-ZNF321P,180.9088,0.45535383,0.0,0.0,0.9640024694875813,0.00022568269013766644
HSC,RAB4B-EGLN2,180.89493,0.29519877,0.0,0.0,0.9640024694875813,0.0002632964718272775
HSC,MYBPH,180.89493,0.14421248,0.0,0.0,0.9640024694875813,0.0002632964718272775
HSC,CCDC92B,180.89493,0.118831515,0.0,0.0,0.9640024694875813,0.0002632964718272775
HSC,TPTEP2-CSNK1E,180.87115,0.22254233,0.0,0.0,0.9640974497791708,0.0003761378168961107
HSC,PPP1R2C,180.85828,0.090699695,0.0,0.0,0.9639549793417865,0.00033852403520649965
HSC,CFHR2,180.84837,0.3246218,0.0,0.0,0.964049959633376,0.0004137515985857218
HSC,ELFN2,180.84442,0.025515404,0.0,0.0,0.9639549793417865,0.0003761378168961107
HSC,AK4P3,180.84341,0.4641526,0.0,0.0,0.9640974497791708,0.0004513653802753329
HSC,MC4R,180.8345,0.5275178,0.0,0.0,0.964049959633376,0.0004513653802753329
HSC,CCDC188,180.82065,0.45703346,0.0,0.0,0.964049959633376,0.0004889791619649439
HSC,OR51I1,180.81963,0.34775263,0.0,0.0,0.9641924300707603,0.0005642067253441661
HSC,DEFA6,180.81172,0.10144479,0.0,0.0,0.9640024694875813,0.0004889791619649439
HSC,OR56B2P,180.81073,0.80027145,0.0,0.0,0.9641449399249655,0.0005642067253441661
HSC,OR2I1P,180.80676,0.20550328,0.0,0.0,0.964049959633376,0.000526592943654555
